country,location,lat,long,station_type,station_category
"United Kingdom","BIOT/Chagos Archipelago",7.3 S,72.4 E,,Radionuclide Stations
"United Kingdom","St. Helena",15.9 S,5.7 W,,Radionuclide Stations
"United Kingdom","Tristan da Cunha",37.1 S,12.3 W,,Radionuclide Stations
"United Kingdom","Halley,Antarctica",76.0 S,28.0 W,,Radionuclide Stations
"United States of America","Sacramento,CA",38.7 N,121.4 W,,Radionuclide Stations
"United States of America","Sand Point,AK",55.3 N,160.5 W,,Radionuclide Stations
"United States of America","Melbourne,FL",28.1 N,80.6 W,,Radionuclide Stations
"United States of America","Palmer Station,Antarctica",64.8 S,64.1 W,,Radionuclide Stations
"United States of America","Ashland,KS",37.2 N,99.8 W,,Radionuclide Stations
"United States of America","Charlottesville,VA",38.0 N,78.4 W,,Radionuclide Stations
"United States of America","Salchaket,AK",64.7 N,147.1 W,,Radionuclide Stations
"United States of America","Wake Island",19.3 N,166.6 E,,Radionuclide Stations
"United States of America","Midway Islands",28.2 N,177.4 W,,Radionuclide Stations
"United States of America","Oahu,HI",21.5 N,158.0 W,,Radionuclide Stations
"United States of America","Upi,Guam",13.6 N,144.9 E,,Radionuclide Stations


Argentina,"Buenos Aires",,,,Radionuclide Laboratories
Australia,"Melbourne, VIC",,,,Radionuclide Laboratories
Austria,Seibersdorf,,,,Radionuclide Laboratories
Brazil,"Rio de Janeiro",,,,Radionuclide Laboratories
Canada,"Ottawa, Ontario",,,,Radionuclide Laboratories
China,Beijing,,,,Radionuclide Laboratories
Finland,Helsinki,,,,Radionuclide Laboratories
France,"Bruyères-le-Chatel",,,,Radionuclide Laboratories
Israel,Yavne,,,,Radionuclide Laboratories
Italy,Rome,,,,Radionuclide Laboratories
Japan,"Tokai, Ibaraki",,,,Radionuclide Laboratories
"New Zealand",Christchurch,,,,Radionuclide Laboratories
"Russian Federation",Moscow,,,,Radionuclide Laboratories
"South Africa",Pelindaba,,,,Radionuclide Laboratories
"United Kingdom Aldermaston","Reading, Berkshire",,,,Radionuclide Laboratories
"United States of America","Richland, WA",,,,Radionuclide Laboratories

Australia,"Cape Leeuwin, WA",34.3 S,115.2 E,Hydrophone,Hydroacoustic Stations
Canada,"Haida Gwaii,B.C.",53.3 N,132.5 W,T-phase,Hydroacoustic Stations
Chile,"Juan Fernández Island",33.6 S,78.8 W,Hydrophone,Hydroacoustic Stations
France,"Crozet Islands",46.4 S,51.9 E,Hydrophone,Hydroacoustic Stations
France,Guadeloupe,16.3 N,61.1 W,T-phase,Hydroacoustic Stations
Mexico,"Socorro Island",18.7 N,110.9 W,T-phase,Hydroacoustic Stations
Portugal,Flores,39.4 N,31.2 W,T-phase,Hydroacoustic Stations
"United Kingdom","BIOT/Chagos Archipelago",7.3 S,72.4 E,Hydrophone,Hydroacoustic Stations
"United Kingdom","Tristan da Cunha",37.1 S,12.3 W,T-phase,Hydroacoustic Stations
"United States of America",Ascension,8.0 S,14.4 W,Hydrophone,Hydroacoustic Stations
"United States of America","Wake Island",19.3 N,166.6 E,Hydrophone,Hydroacoustic Stations

Argentina,Pilcaniyeu,41.1 S,70.7 W,,Infrasound Stations
Argentina,Ushuaia,54.6 S,67.3 W,,Infrasound Stations
Australia,"Davis Base,Antarctica",68.6 S,78.1 E,,Infrasound Stations
Australia,Shannon,34.6 S,116.4 E,,Infrasound Stations
Australia,"Hobart,TAS",42.5 S,147.7 E,,Infrasound Stations
Australia,"Cocos Islands",12.2 S,96.8 E,,Infrasound Stations
Australia,"Warramunga,NT",19.9 S,134.3 E,,Infrasound Stations
Bolivia,"La Paz",16.2 S,68.5 W,,Infrasound Stations
Brazil,Brasilia,15.6 S,48.0 W,,Infrasound Stations
Canada,"Lac du Bonnet,Man.",50.2 N,96.0 W,,Infrasound Stations
"Cabo Verde","Cape Verde Islands",15.2 N,23.2 W,,Infrasound Stations
"Central African Republic",Bangui,5.2 N,18.4 E,,Infrasound Stations
Chile,"Easter Island",27.1 S,109.4 W,,Infrasound Stations
Chile,"Robinson Crusoe Island",33.6 S,78.8 W,,Infrasound Stations
China,Beijing,39.6 N,115.9 E,,Infrasound Stations
China,Kunming,25.3 N,102.7 E,,Infrasound Stations
"Côte d’Ivoire",Dimbokro,6.7 N,4.9 W,,Infrasound Stations
Denmark,"Qaanaaq,Greenland",77.5 N,69.3 W,,Infrasound Stations
Djibouti,Djibouti,11.5 N,43.2 E,,Infrasound Stations
Ecuador,"Isla Santa Cruz,Galápagos Islands",0.6 S,90.4 W,Infrasound Stations
France,"Marquesas Islands",8.9 S,140.2 W,,Infrasound Stations
France,"Port Laguerre,New Caledonia",22.2 S,166.8 E,,Infrasound Stations
France,Kerguelen,49.3 S,70.3 E,,Infrasound Stations
France,Tahiti,17.8 S,149.3 W,,Infrasound Stations
France,Guadeloupe,16.1 N,61.6 W,,Infrasound Stations

Germany,Freyung,48.9 N,13.7 E,,Infrasound Stations
German,"Georg von Neumayer,Antarctica",70.7 S,8.3 W,,Infrasound Stations
"Iran (Islamic Republic of)",Tehran,35.7 N,51.4 E,,Infrasound Stations
Japan,Isumi,35.3 N,140.3 E,,Infrasound Stations
Kazakhstan,Aktyubinsk,50.4 N,58.0 E,,Infrasound Stations
Kenya,Nairobi,1.3 S,36.8 E,,Infrasound Stations
Madagascar,Antananarivo,19.0 S,47.3 E,,Infrasound Stations
Mongolia,Songino,47.8 N,106.4 E,,Infrasound Stations
Namibia,Tsumeb,19.2 S,17.6 E,,Infrasound Stations
New Zealand,Chatham Island,43.9 S,176.5 W,,Infrasound Stations
Norway,Bardufoss,69.1 N,18.6 E,,Infrasound Stations
Pakistan,"Rahimyar Khan",28.2 N,70.3 E,,Infrasound Stations
Palau,Palau,7.5 N,134.5 E,,Infrasound Stations
"Papua New Guinea",Keravat,4.3 S,152.0 E,,Infrasound Stations
Paraguay,"Villa Florida",26.3 S,57.3 W,,Infrasound Stations
Portugal,"Graciosa,Azores",39.0 N,28.0 W,,Infrasound Stations
"Russian Federation",Dubna,56.7 N,37.3 E,,Infrasound Stations
"Russian Federation","Petropavlovsk-Kamchatskiy",53.1 N,157.7 E,,Infrasound Stations
"Russian Federation",Ussuriysk,44.2 N,132.0 E,,Infrasound Stations
"Russian Federation",Zalesovo,53.9 N,84.8 E,,Infrasound Stations
South Africa,Boshof,28.6 S,25.3 E,,Infrasound Stations
Tunisia,Kesra,35.8 N,9.3 E,,Infrasound Stations
"United Kingdom","Tristan da Cunha",37.1 S,12.3 W,,Infrasound Stations
"United Kingdom",Ascension,7.9 S,14.4 W,,Infrasound Stations
"United Kingdom",Bermuda,32.3 N,64.7 W,,Infrasound Stations
"United Kingdom","BIOT/Chagos Archipelago",7.4 S,72.5 E,,Infrasound Stations
"United States of America","Fairbanks, AK",64.9 N,147.9 W,,Infrasound Stations
"United States of America","Palmer Station, Antarctica",64.8 S,64.1 W,,Infrasound Stations
"United States of America","Windless Bight ,Antarctica",77.7 S,167.6 E,,Infrasound Stations
"United States of America","Newport, WA",48.3 N,117.1 W,,Infrasound Stations
"United States of America","Piñon Flat, CA",33.6 N,116.5 W,,Infrasound Stations
"United States of America","Midway Islands",28.2 N,177.4 W,,Infrasound Stations
"United States of America","Hawaii, HI",19.6 N,155.9 W,,Infrasound Stations
"United States of America","Wake Island",19.3 N,166.6 E,,Infrasound Stations
